                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.89726,                 0.9244,                  1.349,                0.47715,                0.59264,                0.53539,                0.34979,                 1.3117,                 1.5856,                 1.6991,             0.00088288,             0.00088288,             0.00088288
                     91,                0.88055,                0.91065,                 1.3363,                  0.525,                0.49162,                0.50419,                 0.3463,                 1.2788,                 1.6838,                 1.6391,             0.00087875,             0.00087875,             0.00087875
                     92,                0.88352,                 0.9166,                 1.3376,                0.52989,                0.47228,                0.49491,                0.32122,                  1.337,                 1.6556,                 1.6936,             0.00087462,             0.00087462,             0.00087462
                     93,                0.88286,                0.89715,                 1.3383,                0.61519,                0.38405,                0.51931,                0.34635,                 1.3327,                 1.6544,                 1.6947,              0.0008705,              0.0008705,              0.0008705
                     94,                0.85766,                0.89164,                 1.3282,                0.50266,                0.52018,                0.51918,                0.34241,                 1.3207,                 1.6602,                 1.6874,             0.00086637,             0.00086637,             0.00086637
                     95,                0.88885,                0.90011,                 1.3429,                0.58004,                0.46412,                0.54381,                0.36688,                 1.2869,                 1.5884,                 1.6953,             0.00086225,             0.00086225,             0.00086225
                     96,                 0.8511,                0.87217,                 1.3145,                0.53736,                0.46866,                0.52452,                0.33408,                 1.3207,                 1.5908,                  1.721,             0.00085813,             0.00085813,             0.00085813
                     97,                 0.8702,                0.87545,                 1.3313,                0.48521,                0.53347,                0.52565,                0.34399,                 1.3526,                 1.5717,                 1.7121,               0.000854,               0.000854,               0.000854
                     98,                0.87549,                 0.8945,                 1.3277,                0.49365,                0.53951,                 0.5362,                0.34898,                 1.3709,                 1.5861,                 1.7115,             0.00084988,             0.00084988,             0.00084988
                     99,                0.84897,                0.86515,                 1.2982,                0.50675,                0.48244,                 0.5247,                0.34565,                 1.3012,                  1.554,                 1.7154,             0.00084575,             0.00084575,             0.00084575
                    100,                0.84167,                0.86187,                 1.3166,                0.52573,                0.52305,                0.53884,                0.33897,                 1.3268,                 1.6477,                 1.7338,             0.00084162,             0.00084162,             0.00084162
                    101,                0.86253,                0.87909,                 1.3292,                0.55547,                0.51277,                0.54617,                0.34509,                 1.2814,                 1.5715,                 1.6758,              0.0008375,              0.0008375,              0.0008375
                    102,                0.88018,                0.87947,                 1.3186,                0.53321,                0.52665,                0.54172,                0.33837,                 1.4006,                  1.599,                 1.7656,             0.00083337,             0.00083337,             0.00083337
                    103,                0.86268,                0.88353,                 1.3194,                0.52439,                  0.481,                0.53175,                0.34067,                 1.3675,                 1.6335,                 1.7569,             0.00082925,             0.00082925,             0.00082925
                    104,                 0.8468,                0.84929,                 1.3124,                0.62801,                0.46176,                0.51223,                0.32284,                 1.3712,                 1.6547,                  1.766,             0.00082513,             0.00082513,             0.00082513
                    105,                0.85211,                0.84549,                 1.3148,                0.46517,                0.53607,                0.52389,                0.34691,                 1.3075,                 1.5986,                  1.722,               0.000821,               0.000821,               0.000821
                    106,                0.84508,                0.84072,                 1.3165,                0.57813,                0.45726,                0.53485,                0.34895,                 1.3069,                 1.6393,                 1.7073,             0.00081688,             0.00081688,             0.00081688
                    107,                0.84552,                0.86311,                 1.3118,                0.50211,                0.49075,                0.53142,                 0.3458,                 1.3223,                 1.6168,                 1.7441,             0.00081275,             0.00081275,             0.00081275
                    108,                0.82053,                0.82965,                 1.2949,                 0.5057,                0.55505,                0.53035,                0.34086,                 1.4126,                 1.6631,                 1.7757,             0.00080863,             0.00080863,             0.00080863
                    109,                0.83995,                0.88689,                 1.3041,                0.45613,                0.55687,                0.50708,                0.32302,                  1.306,                 1.6489,                  1.688,              0.0008045,              0.0008045,              0.0008045
                    110,                0.83926,                0.88531,                  1.306,                0.53236,                 0.4885,                0.53633,                0.35135,                 1.3306,                  1.611,                 1.7331,             0.00080038,             0.00080038,             0.00080038
                    111,                0.83828,                0.83337,                  1.309,                 0.4607,                0.53374,                0.51833,                 0.3353,                 1.3437,                 1.7072,                 1.7349,             0.00079625,             0.00079625,             0.00079625
                    112,                0.83726,                0.85007,                 1.3011,                0.48506,                0.53442,                0.51645,                0.33778,                 1.2953,                 1.6485,                 1.6808,             0.00079213,             0.00079213,             0.00079213
                    113,                0.81512,                0.79957,                 1.2792,                0.51383,                0.51385,                0.54551,                0.36124,                 1.3397,                 1.5826,                 1.7281,               0.000788,               0.000788,               0.000788
                    114,                0.80418,                0.78245,                 1.2788,                 0.7199,                 0.4145,                0.55439,                0.37123,                 1.3144,                 1.5898,                  1.683,             0.00078387,             0.00078387,             0.00078387
                    115,                 0.8225,                0.81388,                 1.2936,                0.55968,                0.46537,                0.53594,                0.35277,                 1.3374,                 1.6245,                  1.691,             0.00077975,             0.00077975,             0.00077975
                    116,                0.81625,                0.78394,                 1.2811,                0.55051,                0.50625,                0.56658,                0.37313,                  1.336,                   1.59,                  1.698,             0.00077563,             0.00077563,             0.00077563
                    117,                0.81546,                0.79257,                 1.2811,                0.62613,                0.48733,                0.56832,                0.36957,                 1.3761,                 1.6305,                 1.7446,              0.0007715,              0.0007715,              0.0007715
                    118,                0.79985,                0.78659,                 1.2664,                0.53234,                 0.5345,                 0.5606,                0.37908,                 1.2951,                 1.6376,                 1.6748,             0.00076738,             0.00076738,             0.00076738
                    119,                0.80861,                0.78596,                 1.2811,                0.54206,                0.54971,                0.53997,                0.35886,                 1.2955,                 1.6294,                 1.6297,             0.00076325,             0.00076325,             0.00076325
                    120,                0.80883,                0.79484,                 1.2742,                0.58205,                0.48071,                0.53439,                0.35101,                 1.3442,                  1.626,                 1.6821,             0.00075912,             0.00075912,             0.00075912
                    121,                0.81853,                0.80293,                 1.2823,                0.57232,                0.45225,                 0.5282,                 0.3489,                 1.2943,                 1.6776,                 1.6698,               0.000755,               0.000755,               0.000755
                    122,                0.81078,                0.79467,                 1.2825,                0.65576,                 0.4586,                0.56239,                0.38431,                 1.2775,                 1.5295,                 1.6543,             0.00075088,             0.00075088,             0.00075088
                    123,                 0.8062,                0.78208,                 1.2762,                0.58039,                0.46122,                0.51744,                0.35482,                 1.3069,                 1.6711,                 1.6722,             0.00074675,             0.00074675,             0.00074675
                    124,                0.80699,                  0.785,                 1.2671,                0.48059,                0.52149,                0.54074,                 0.3643,                 1.3024,                 1.5844,                 1.6945,             0.00074263,             0.00074263,             0.00074263
                    125,                0.80761,                0.77394,                 1.2705,                0.50643,                0.58732,                0.56568,                0.37677,                 1.2754,                 1.5043,                 1.6708,              0.0007385,              0.0007385,              0.0007385
                    126,                 0.8001,                 0.7598,                 1.2675,                0.65572,                0.43008,                0.56153,                0.38121,                 1.2745,                 1.6144,                  1.623,             0.00073437,             0.00073437,             0.00073437
                    127,                0.79779,                0.77046,                 1.2675,                0.50112,                0.56334,                 0.5662,                0.38907,                 1.2302,                  1.542,                 1.6233,             0.00073025,             0.00073025,             0.00073025
                    128,                0.78976,                 0.7521,                 1.2722,                0.55556,                0.42429,                0.53419,                0.36359,                 1.3239,                 1.6259,                 1.7041,             0.00072612,             0.00072612,             0.00072612
                    129,                0.80464,                0.76442,                 1.2823,                0.54452,                0.46715,                0.52772,                0.35477,                 1.3306,                 1.6664,                 1.7045,               0.000722,               0.000722,               0.000722
                    130,                 0.7863,                0.75867,                  1.264,                0.56174,                0.48909,                0.56019,                0.37328,                 1.2963,                 1.5972,                 1.7012,             0.00071788,             0.00071788,             0.00071788
                    131,                0.76953,                0.73391,                 1.2534,                0.48611,                0.53803,                0.55858,                0.37019,                 1.3464,                 1.5749,                 1.7337,             0.00071375,             0.00071375,             0.00071375
                    132,                0.78107,                0.74115,                 1.2526,                 0.4749,                0.53005,                0.55121,                0.37324,                 1.3271,                 1.5905,                 1.7023,             0.00070962,             0.00070962,             0.00070962
                    133,                 0.8039,                0.75199,                 1.2658,                0.53773,                0.51719,                0.54516,                0.35051,                 1.3399,                 1.5816,                 1.7198,              0.0007055,              0.0007055,              0.0007055
                    134,                0.77738,                0.72838,                  1.262,                0.55889,                0.52767,                0.58106,                 0.3826,                 1.2596,                   1.55,                 1.6681,             0.00070137,             0.00070137,             0.00070137
                    135,                0.76777,                0.73702,                 1.2568,                0.58814,                0.51137,                0.54167,                0.36808,                 1.2856,                 1.6916,                 1.6736,             0.00069725,             0.00069725,             0.00069725
                    136,                0.77432,                 0.7174,                 1.2424,                0.56903,                0.50619,                0.56803,                0.37944,                 1.3208,                 1.5828,                 1.6791,             0.00069313,             0.00069313,             0.00069313
                    137,                0.78377,                0.75014,                 1.2513,                0.58062,                0.48746,                0.54823,                0.35619,                 1.3564,                    1.6,                 1.7469,               0.000689,               0.000689,               0.000689
                    138,                0.79525,                0.73002,                 1.2629,                0.65106,                0.42854,                0.56148,                0.36279,                  1.314,                 1.4994,                 1.6943,             0.00068488,             0.00068488,             0.00068488
                    139,                0.77809,                0.72777,                 1.2592,                0.55873,                0.53371,                0.56684,                 0.3536,                 1.3738,                 1.5493,                 1.7507,             0.00068075,             0.00068075,             0.00068075
                    140,                0.77257,                0.70624,                 1.2528,                0.62102,                0.48934,                0.59162,                0.38435,                 1.3396,                  1.487,                 1.7511,             0.00067663,             0.00067663,             0.00067663
                    141,                 0.7618,                0.72255,                 1.2472,                0.48437,                0.55347,                0.55376,                0.36618,                 1.3355,                 1.6056,                 1.7297,              0.0006725,              0.0006725,              0.0006725
                    142,                0.76787,                0.70814,                 1.2391,                0.49785,                0.48207,                0.49501,                0.32881,                 1.3499,                  1.796,                 1.7136,             0.00066838,             0.00066838,             0.00066838
                    143,                0.74943,                0.70509,                 1.2302,                0.50746,                0.53372,                0.53926,                0.35693,                   1.35,                  1.644,                 1.7582,             0.00066425,             0.00066425,             0.00066425
                    144,                0.76092,                0.70611,                 1.2301,                0.57072,                0.50106,                0.56179,                0.37191,                 1.3139,                 1.5973,                 1.7092,             0.00066013,             0.00066013,             0.00066013
                    145,                0.76098,                0.70425,                 1.2383,                0.52014,                0.49634,                0.54196,                0.36556,                 1.3326,                 1.6457,                 1.7365,               0.000656,               0.000656,               0.000656
                    146,                0.76826,                0.70289,                 1.2504,                0.47114,                0.55629,                0.54833,                0.36055,                 1.3253,                  1.542,                 1.7199,             0.00065188,             0.00065188,             0.00065188
                    147,                0.73174,                0.68054,                 1.2228,                0.44262,                0.58481,                0.52984,                0.35696,                 1.3171,                 1.6128,                 1.7104,             0.00064775,             0.00064775,             0.00064775
                    148,                0.75959,                0.71333,                 1.2409,                0.51524,                0.53986,                 0.5615,                0.36889,                 1.3536,                 1.5774,                  1.726,             0.00064362,             0.00064362,             0.00064362
                    149,                0.75642,                0.71183,                 1.2442,                0.53123,                0.58248,                0.57746,                0.38505,                 1.3423,                 1.5883,                 1.7373,              0.0006395,              0.0006395,              0.0006395
